cohort_year,collection_key,reason
2023,avatar-the-way-of-water,outside-animation-universe
2023,barbie,outside-animation-universe
2023,barry-401,outside-animation-universe
2023,beacon-23-101,outside-animation-universe
2023,beacon-23-108,outside-animation-universe
2023,bear-02,outside-animation-universe
2023,black-mirror-06,outside-animation-universe
2023,black-panther-wakanda-forever,outside-animation-universe
2023,blue-eye-samurai-01,category-predicate-not-matched
2023,changeling-108,outside-animation-universe
2023,citadel-101,outside-animation-universe
2023,citadel-106,outside-animation-universe
2023,consultant-01,outside-animation-universe
2023,curse-01,outside-animation-universe
2023,dungeons-and-dragons-honor-among-thieves,outside-animation-universe
2023,fargo-501,outside-animation-universe
2023,for-all-mankind-401,outside-animation-universe
2023,foundation-201,outside-animation-universe
2023,fubar-01,outside-animation-universe
2023,full-circle-01,outside-animation-universe
2023,gen-v-101,outside-animation-universe
2023,gen-v-108,outside-animation-universe
2023,guardians-of-the-galaxy-3,outside-animation-universe
2023,hijack-101,outside-animation-universe
2023,hijack-107,outside-animation-universe
2023,idol-101,outside-animation-universe
2023,im-a-virgo-01,outside-animation-universe
2023,invincible-201,category-predicate-not-matched
2023,last-of-us-101,outside-animation-universe
2023,last-of-us-109,outside-animation-universe
2023,liaison-101,outside-animation-universe
2023,loki-201,outside-animation-universe
2023,loki-206,outside-animation-universe
2023,lupin-03,outside-animation-universe
2023,magic-mikes-last-dance,outside-animation-universe
2023,mandalorian-301,outside-animation-universe
2023,mandalorian-308,outside-animation-universe
2023,marvelous-mrs-maisel-501,outside-animation-universe
2023,minx-02,outside-animation-universe
2023,monarch-legacy-of-monsters-101,outside-animation-universe
2023,murder-at-the-end-of-the-world-101,outside-animation-universe
2023,murder-at-the-end-of-the-world-107,outside-animation-universe
2023,no-more-bets,outside-animation-universe
2023,only-murders-in-the-building-301,outside-animation-universe
2023,only-murders-in-the-building-310,outside-animation-universe
2023,oppenheimer,outside-animation-universe
2023,outer-banks-03,outside-animation-universe
2023,polite-society,outside-animation-universe
2023,power-105,outside-animation-universe
2023,power-109,outside-animation-universe
2023,prehistoric-planet-02,category-predicate-not-matched
2023,queen-charlotte-01,outside-animation-universe
2023,queer-eye-2018-07,outside-animation-universe
2023,reacher-201,outside-animation-universe
2023,reservation-dogs-301,outside-animation-universe
2023,reservation-dogs-310,outside-animation-universe
2023,they-cloned-tyrone,outside-animation-universe
2023,twisted-metal-01,outside-animation-universe
2023,warrior-310,outside-animation-universe
2023,witcher-03.1,outside-animation-universe
2023,witcher-03.2,outside-animation-universe
2023,you-04.2,outside-animation-universe
2024,3-body-problem-01,outside-animation-universe
2024,acolyte-101,outside-animation-universe
2024,acolyte-107,outside-animation-universe
2024,agatha-all-along-101,outside-animation-universe
2024,agatha-all-along-107,outside-animation-universe
2024,american-fiction,outside-animation-universe
2024,anora,outside-animation-universe
2024,apprentice-2024,outside-animation-universe
2024,arcane-02.1,category-predicate-not-matched
2024,arcane-02.2,category-predicate-not-matched
2024,arcane-02.3,category-predicate-not-matched
2024,avatar-the-last-airbender-2024-01,outside-animation-universe
2024,bad-monkey-109,outside-animation-universe
2024,bear-03,outside-animation-universe
2024,beverly-hills-cop-axel-f,outside-animation-universe
2024,blink-twice,outside-animation-universe
2024,boys-401,outside-animation-universe
2024,brothers-sun-01,outside-animation-universe
2024,diplomat-02,outside-animation-universe
2024,dune-2024,outside-animation-universe
2024,echo-01,outside-animation-universe
2024,emilia-perez,outside-animation-universe
2024,fallout-2024-01,outside-animation-universe
2024,fantasmas-01,outside-animation-universe
2024,fargo-510,outside-animation-universe
2024,feud-02,outside-animation-universe
2024,for-all-mankind-410,outside-animation-universe
2024,godzilla-minus-one,outside-animation-universe
2024,godzilla-x-kong-the-new-empire,outside-animation-universe
2024,griselda-01,outside-animation-universe
2024,hit-man,outside-animation-universe
2024,hit-monkey-02,category-predicate-not-matched
2024,house-of-the-dragon-201,outside-animation-universe
2024,house-of-the-dragon-207,outside-animation-universe
2024,interior-chinatown-01,outside-animation-universe
2024,killer-2024,outside-animation-universe
2024,kingdom-of-the-planet-of-the-apes,outside-animation-universe
2024,laid-01,outside-animation-universe
2024,madness-01,outside-animation-universe
2024,masters-of-the-air-101,outside-animation-universe
2024,masters-of-the-air-108,outside-animation-universe
2024,monarch-legacy-of-monsters-110,outside-animation-universe
2024,monsieur-spade-01,outside-animation-universe
2024,mr-and-mrs-smith-2024-01,outside-animation-universe
2024,old-man-201,outside-animation-universe
2024,only-murders-in-the-building-401,outside-animation-universe
2024,only-murders-in-the-building-409,outside-animation-universe
2024,outer-range-02,outside-animation-universe
